shot_id,x,y,team_id,made,description,meta,flag2
2845777255,14.0,68.0,77,True,2nd 17:09:00 : made by AJ Dybantsa(BYU) 40-47,period_2 player_787708049 team_77,False
2845777256,78.0,66.0,2,False,2nd 16:56:00 : missed by Cbo Newton(Abilene Christian) 40-47,period_2 player_787708058 team_2,False
2845777263,81.0,63.0,2,False,2nd 16:19:00 : missed by Bradyn Hubbard(Abilene Christian) 40-48,period_2 player_787708061 team_2,False
2845777265,17.0,49.0,77,True,2nd 16:11:00 : made by AJ Dybantsa(BYU) 40-50,period_2 player_787708049 team_77,False
2845777267,86.0,44.0,2,True,2nd 15:45:00 : made by Cbo Newton(Abilene Christian) 42-50,period_2 player_787708058 team_2,False
2845777284,8.0,50.0,77,True,2nd 14:51:00 : made by AJ Dybantsa(BYU) 42-54,period_2 player_787708049 team_77,False
2845777286,95.0,49.0,2,True,2nd 14:28:00 : made by Rich Smith(Abilene Christian) 44-54,period_2 player_787708055 team_2,False
2845777292,74.0,78.0,2,True,2nd 13:42:00 : made by Cbo Newton(Abilene Christian) 47-54,period_2 player_787708058 team_2,False
2845777294,12.0,4.0,77,False,2nd 13:19:00 : missed by Richie Saunders(BYU) 47-54,period_2 player_787708042 team_77,False
2845777296,93.0,57.0,2,False,2nd 13:05:00 : missed by Rich Smith(Abilene Christian) 47-54,period_2 player_787708055 team_2,False
2845777299,90.0,45.0,2,False,2nd 13:03:00 : missed by Bradyn Hubbard(Abilene Christian) 47-54,period_2 player_787708061 team_2,False
2845777305,73.0,28.0,2,True,2nd 12:49:00 : made by Rich Smith(Abilene Christian) 50-54,period_2 player_787708055 team_2,False
2845777309,87.0,25.0,2,False,2nd 12:13:00 : missed by Cbo Newton(Abilene Christian) 50-54,period_2 player_787708058 team_2,False
2845777313,92.0,43.0,2,True,2nd 11:58:00 : made by Cbo Newton(Abilene Christian) 52-54,period_2 player_787708058 team_2,False
2845777317,9.0,20.0,77,True,2nd 11:32:00 : made by AJ Dybantsa(BYU) 52-56,period_2 player_787708049 team_77,False
2845777319,91.0,5.0,2,False,2nd 11:03:00 : missed by Bradyn Hubbard(Abilene Christian) 52-56,period_2 player_787708061 team_2,False
2845777327,6.0,4.0,77,True,2nd 10:43:00 : made by Kennard Davis Jr.(BYU) 52-59,period_2 player_787708044 team_77,False
2845777329,78.0,37.0,2,False,2nd 10:17:00 : missed by Bradyn Hubbard(Abilene Christian) 52-59,period_2 player_787708061 team_2,False
2845777331,9.0,29.0,77,True,2nd 10:00:00 : made by Richie Saunders(BYU) 52-61,period_2 player_787708042 team_77,False
2845777341,91.0,39.0,2,False,2nd 09:36:00 : missed by Bradyn Hubbard(Abilene Christian) 52-62,period_2 player_787708061 team_2,False
2845777347,68.0,38.0,2,False,2nd 08:56:00 : missed by Joseph Venzant(Abilene Christian) 52-62,period_2 player_787708054 team_2,False
2845777361,6.0,50.0,77,True,2nd 08:50:00 : made by Richie Saunders(BYU) 52-64,period_2 player_787708042 team_77,False
2845777363,91.0,63.0,2,False,2nd 08:33:00 : missed by Christian Alston(Abilene Christian) 52-64,period_2 player_787708060 team_2,False
2845777368,89.0,44.0,2,False,2nd 08:12:00 : missed by Cbo Newton(Abilene Christian) 52-64,period_2 player_787708058 team_2,False
2845777372,6.0,51.0,77,True,2nd 07:55:00 : made by Robert Wright III(BYU) 52-66,period_2 player_787708045 team_77,False
2845777374,79.0,14.0,2,False,2nd 07:42:00 : missed by Christian Alston(Abilene Christian) 52-66,period_2 player_787708060 team_2,False
2845777388,85.0,72.0,2,False,2nd 07:22:00 : missed by Cade Hornecker(Abilene Christian) 52-67,period_2 player_787708056 team_2,False
2845777390,94.0,50.0,2,True,2nd 07:13:00 : made by Cade Hornecker(Abilene Christian) 54-67,period_2 player_787708056 team_2,False
2845777397,6.0,46.0,77,True,2nd 07:03:00 : made by Richie Saunders(BYU) 55-69,period_2 player_787708042 team_77,False
2845777407,9.0,45.0,77,False,2nd 05:38:00 : missed by Richie Saunders(BYU) 57-71,period_2 player_787708042 team_77,False
2845777416,76.0,36.0,2,False,2nd 05:07:00 : missed by Rich Smith(Abilene Christian) 57-72,period_2 player_787708055 team_2,False
2845777418,86.0,68.0,2,True,2nd 05:02:00 : made by Bradyn Hubbard(Abilene Christian) 59-72,period_2 player_787708061 team_2,False
2845777426,93.0,53.0,2,True,2nd 04:31:00 : made by Joseph Scott(Abilene Christian) 61-74,period_2 player_787708065 team_2,False
2845777431,86.0,41.0,2,False,2nd 03:50:00 : missed by Rich Smith(Abilene Christian) 61-76,period_2 player_787708055 team_2,False
2845777435,81.0,51.0,2,False,2nd 03:33:00 : missed by Rich Smith(Abilene Christian) 61-76,period_2 player_787708055 team_2,False
2845777438,79.0,48.0,2,False,2nd 03:29:00 : missed by Rich Smith(Abilene Christian) 61-76,period_2 player_787708055 team_2,False
